item_name,quantity,unit,category,expiry_date,notes
whole milk,2,gallon,Milk & Cream,2026-03-22,Weekly delivery
eggs,24,unit,Eggs,,Standard large
chicken breast,3,lb,Poultry,2026-03-18,Fresh from butcher
sourdough bread,2,unit,Bread & Rolls,2026-03-20,Artisan bakery
greek yogurt,4,unit,Yogurt,2026-03-29,32oz containers
bananas,12,unit,Fresh Fruit,2026-03-22,Slightly green
cheddar cheese,1,lb,Cheese,2026-04-15,Sharp variety
tomatoes,8,unit,Fresh Vegetables,2026-03-25,Roma
carrots,2,lb,Root Vegetables,2026-04-05,Organic
coffee bean,2,lb,Coffee & Tea,,Dark roast
orange juice,2,unit,Juice & Soft Drinks,2026-03-25,64oz cartons
lettuce,3,unit,Herbs & Leafy Greens,2026-03-20,Romaine heads
butter,1,lb,Butter & Spreads,2026-04-30,Unsalted
oat milk,2,unit,Plant-Based Milk,2026-03-29,Barista edition
white rice,10,lb,Grains & Rice,,Jasmine
