event_id,timestamp,item_id,item_name,action_type,qty_change,day_of_week,is_weekend,notes
15,2026-02-18 07:43:00,tomato-001,tomato,USE,-1.23,2,0,Smoothie bar
13,2026-02-18 08:46:00,yogurt-001,greek yogurt,USE,-1.48,2,0,Lunch prep
8,2026-02-18 08:57:00,apple-001,organic apple,RESTOCK,62.63,2,0,Emergency restock
19,2026-02-18 09:00:00,oj-001,orange juice,USE,-0.21,2,0,Evening special
16,2026-02-18 09:32:00,chicken-001,chicken breast,USE,-0.61,2,0,Morning rush
6,2026-02-18 09:43:00,coffee-001,coffee bean,USE,-39.37,2,0,Evening special
3,2026-02-18 12:01:00,milk-001,whole milk,WASTE,-0.53,2,0,Expired — composted
2,2026-02-18 12:52:00,milk-001,whole milk,USE,-1.21,2,0,Lunch prep
7,2026-02-18 13:17:00,apple-001,organic apple,USE,-1.79,2,0,Evening special
20,2026-02-18 13:26:00,oj-001,orange juice,ADD,2.71,2,0,Emergency restock
9,2026-02-18 13:43:00,bread-001,sourdough bread,USE,-1.25,2,0,Breakfast service
10,2026-02-18 14:03:00,egg-001,egg,RESTOCK,51.53,2,0,Weekly delivery
12,2026-02-18 14:13:00,cheese-001,cheddar cheese,RESTOCK,2.24,2,0,Wholesale order
17,2026-02-18 14:36:00,oj-001,orange juice,USE,-0.29,2,0,Morning rush
1,2026-02-18 14:52:00,milk-001,whole milk,USE,-0.56,2,0,Recipe testing
21,2026-02-18 16:12:00,oj-001,orange juice,USE,-0.31,2,0,Daily prep
11,2026-02-18 16:43:00,cheese-001,cheddar cheese,USE,-0.15,2,0,Recipe testing
18,2026-02-18 17:34:00,oj-001,orange juice,ADD,3.91,2,0,Weekly delivery
5,2026-02-18 18:15:00,coffee-001,coffee bean,USE,-42.63,2,0,Catering order
4,2026-02-18 18:57:00,milk-001,whole milk,USE,-0.68,2,0,Breakfast service
14,2026-02-18 19:00:00,tomato-001,tomato,USE,-0.85,2,0,Customer order
26,2026-02-19 07:00:00,coffee-001,coffee bean,RESTOCK,918.0,3,0,Wholesale order
34,2026-02-19 07:37:00,cheese-001,cheddar cheese,USE,-0.09,3,0,Breakfast service
27,2026-02-19 10:12:00,coffee-001,coffee bean,USE,-61.81,3,0,Smoothie bar
22,2026-02-19 11:22:00,milk-001,whole milk,USE,-1.2,3,0,Customer order
36,2026-02-19 12:15:00,yogurt-001,greek yogurt,ADD,14.81,3,0,Supplier drop-off
35,2026-02-19 12:21:00,cheese-001,cheddar cheese,USE,-0.11,3,0,Smoothie bar
33,2026-02-19 13:03:00,cheese-001,cheddar cheese,USE,-0.11,3,0,Afternoon service
39,2026-02-19 13:15:00,oj-001,orange juice,USE,-0.4,3,0,Evening special
38,2026-02-19 13:17:00,chicken-001,chicken breast,RESTOCK,7.48,3,0,Emergency restock
32,2026-02-19 13:36:00,egg-001,egg,WASTE,-1.41,3,0,Expired — composted
37,2026-02-19 13:51:00,chicken-001,chicken breast,USE,-0.36,3,0,Catering order
28,2026-02-19 14:26:00,coffee-001,coffee bean,RESTOCK,606.95,3,0,Emergency restock
30,2026-02-19 16:51:00,bread-001,sourdough bread,USE,-0.75,3,0,Customer order
25,2026-02-19 16:54:00,coffee-001,coffee bean,USE,-92.22,3,0,Evening special
31,2026-02-19 17:48:00,egg-001,egg,USE,-5.99,3,0,Catering order
29,2026-02-19 17:53:00,apple-001,organic apple,USE,-2.23,3,0,Baking batch
41,2026-02-19 18:04:00,oj-001,orange juice,USE,-0.2,3,0,Lunch prep
24,2026-02-19 18:43:00,coffee-001,coffee bean,USE,-63.77,3,0,Daily prep
40,2026-02-19 18:48:00,oj-001,orange juice,ADD,3.67,3,0,Supplier drop-off
23,2026-02-19 19:35:00,milk-001,whole milk,USE,-1.04,3,0,Morning rush
54,2026-02-20 08:24:00,tomato-001,tomato,USE,-1.31,4,0,Lunch prep
45,2026-02-20 09:15:00,coffee-001,coffee bean,USE,-65.71,4,0,Staff meal
53,2026-02-20 09:32:00,cheese-001,cheddar cheese,USE,-0.11,4,0,Smoothie bar
51,2026-02-20 09:48:00,bread-001,sourdough bread,ADD,11.37,4,0,Wholesale order
59,2026-02-20 10:00:00,oj-001,orange juice,USE,-0.38,4,0,Customer order
46,2026-02-20 10:32:00,coffee-001,coffee bean,WASTE,-16.93,4,0,Damaged in storage
44,2026-02-20 10:34:00,milk-001,whole milk,USE,-1.4,4,0,Lunch prep
52,2026-02-20 11:23:00,cheese-001,cheddar cheese,RESTOCK,2.02,4,0,Weekly delivery
48,2026-02-20 12:37:00,apple-001,organic apple,USE,-2.04,4,0,Catering order
57,2026-02-20 12:47:00,chicken-001,chicken breast,ADD,3.61,4,0,Wholesale order
55,2026-02-20 13:01:00,chicken-001,chicken breast,USE,-0.59,4,0,Daily prep
47,2026-02-20 14:07:00,coffee-001,coffee bean,USE,-45.25,4,0,Customer order
42,2026-02-20 14:53:00,milk-001,whole milk,ADD,14.07,4,0,Weekly delivery
56,2026-02-20 16:16:00,chicken-001,chicken breast,USE,-0.4,4,0,Catering order
49,2026-02-20 17:26:00,apple-001,organic apple,USE,-3.71,4,0,Morning rush
43,2026-02-20 17:48:00,milk-001,whole milk,ADD,11.78,4,0,Farmers market purchase
50,2026-02-20 18:46:00,apple-001,organic apple,ADD,28.06,4,0,Farmers market purchase
58,2026-02-20 18:57:00,oj-001,orange juice,USE,-0.37,4,0,Staff meal
72,2026-02-21 07:29:00,cheese-001,cheddar cheese,USE,-0.09,5,1,Baking batch
73,2026-02-21 07:29:00,yogurt-001,greek yogurt,USE,-2.6,5,1,Recipe testing
79,2026-02-21 07:39:00,tomato-001,tomato,RESTOCK,19.72,5,1,Supplier drop-off
60,2026-02-21 08:01:00,coffee-001,coffee bean,RESTOCK,627.62,5,1,Emergency restock
68,2026-02-21 08:31:00,egg-001,egg,USE,-9.06,5,1,Evening special
77,2026-02-21 08:34:00,tomato-001,tomato,RESTOCK,23.51,5,1,Supplier drop-off
65,2026-02-21 09:27:00,egg-001,egg,USE,-8.29,5,1,Evening special
78,2026-02-21 09:42:00,tomato-001,tomato,USE,-2.04,5,1,Evening special
64,2026-02-21 10:29:00,bread-001,sourdough bread,USE,-2.86,5,1,Recipe testing
74,2026-02-21 12:04:00,yogurt-001,greek yogurt,USE,-1.46,5,1,Staff meal
